,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi,opened_at
545,closed,0.0018,7290.0,-0.04333418957102492,1666103400000.0,1666540800000,19430.5,19465.0,1666354380000.0,18621.5,2022-10-18 00:00:00,buy,1m,-4,2022-10-18 14:30:00
546,closed,0.0012,2.0,-0.0025400898011545864,1666103040000.0,1666103160000,19465.0,19487.5,1666103040000.0,19438.0,2022-10-18 00:00:00,buy,1m,-3,2022-10-18 14:24:00
547,closed,0.0035,8.0,-0.004269680157492394,1666061520000.0,1666062000000,19487.5,19556.5,1666061520000.0,19473.0,2022-10-18 00:00:00,buy,1m,-2,2022-10-18 02:52:00
548,closed,0.0035,120.0,-0.0064913406029506095,1666051200000.0,1666058400000,19556.5,19487.5,1666055520000.0,19614.0,2022-10-18 00:00:00,sell,1m,2,2022-10-18 00:00:00
549,closed,0.0015,3.0,-0.0018919540817630967,1666052400000.0,1666052580000,19585.5,19556.5,1666052400000.0,19593.5,2022-10-18 00:00:00,sell,1m,3,2022-10-18 00:20:00
550,closed,0.0016,22.0,-0.005539812616476475,1666075080000.0,1666076400000,19616.5,19585.5,1666075260000.0,19694.0,2022-10-18 00:00:00,sell,1m,4,2022-10-18 06:38:00
551,closed,0.007,19452.0,-0.09448678408482655,1666712880000.0,1667880000000,19755.0,19616.5,1667609100000.0,21470.0,2022-10-18 00:00:00,sell,15m,3,2022-10-25 15:48:00
552,closed,0.0095,19380.0,-0.0868134649455834,1666717200000.0,1667880000000,19944.0,19755.0,1667609100000.0,21470.0,2022-10-18 00:00:00,sell,15m,4,2022-10-25 17:00:00
553,closed,0.0019,1.0,-0.004863618130766145,1666717200000.0,1666717260000,19982.5,19944.0,1666717200000.0,20041.0,2022-10-18 00:00:00,sell,1h,3,2022-10-25 17:00:00
554,closed,0.0229,3083.0,-0.05136994870511698,1666773420000.0,1666958400000,20451.0,19982.5,1666795380000.0,21009.0,2022-10-18 00:00:00,sell,1h,4,2022-10-26 08:37:00
555,open,-0.0549,47797.0,-0.1800754075726196,1667935380000.0,1670803200000,18071.0,18831.0,1669067520000.0,15440.0,2022-10-20 00:00:00,buy,1h,-4,2022-11-08 19:23:00
556,closed,0.007,49.0,-0.017956966564708365,1666354260000.0,1666357200000,18831.0,18962.0,1666354380000.0,18621.5,2022-10-20 00:00:00,buy,1h,-3,2022-10-21 12:11:00
557,closed,0.006,192.0,-0.011035097376215565,1666226880000.0,1666238400000,18962.0,19075.5,1666226880000.0,18865.0,2022-10-20 00:00:00,buy,15m,-4,2022-10-20 00:48:00
558,closed,0.0028,197.0,-0.013826811991949607,1666226580000.0,1666238400000,19075.5,19129.5,1666226880000.0,18865.0,2022-10-20 00:00:00,buy,1m,-4,2022-10-20 00:43:00
559,closed,0.0028,21.0,-0.004429765930119787,1666224540000.0,1666225800000,19129.5,19075.5,1666224840000.0,19160.0,2022-10-20 00:00:00,sell,1m,-3,2022-10-20 00:09:00
560,closed,0.0015,1.0,-0.0015943960898089338,1666224840000.0,1666224900000,19158.5,19129.5,1666224840000.0,19160.0,2022-10-20 00:00:00,sell,1m,-2,2022-10-20 00:14:00
561,closed,0.0032,79.0,-0.004253986481196336,1666262460000.0,1666267200000,19220.5,19158.5,1666262520000.0,19240.0,2022-10-20 00:00:00,sell,1m,2,2022-10-20 10:41:00
562,closed,0.0016,8.0,-0.0025233474675476703,1666268520000.0,1666269000000,19252.0,19220.5,1666268580000.0,19269.0,2022-10-20 00:00:00,sell,1m,3,2022-10-20 12:22:00
563,closed,0.0023,40.0,-0.004830666943694162,1666275600000.0,1666278000000,19296.5,19252.0,1666275600000.0,19345.0,2022-10-20 00:00:00,sell,1m,4,2022-10-20 14:20:00
564,closed,0.0008,1.0,-0.0025134091674656025,1666275600000.0,1666275660000,19311.5,19296.5,1666275600000.0,19345.0,2022-10-20 00:00:00,sell,15m,-2,2022-10-20 14:20:00
565,closed,0.0032,369.0,-0.01926313336612899,1666547460000.0,1666569600000,19374.0,19311.5,1666564380000.0,19683.5,2022-10-20 00:00:00,sell,15m,2,2022-10-23 17:51:00
