,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi
146,closed,0.0176,36323.0,-0.18873524303647196,1660891020000,1663070400000,22350.0,22743.5,1662517440000,18451.0,2022-08-19 00:00:00,buy,1h,-4
50,closed,0.0002,34163.0,-0.17445190156599552,1660891020000,1662940800000,22345.5,22350.0,1662517440000,18451.0,2022-08-07 00:00:00,buy,1h,-2
51,closed,0.0147,36083.0,-0.18644590930135144,1660891020000,1663056000000,22350.0,22679.5,1662517440000,18451.0,2022-08-07 00:00:00,buy,15m,-4
106,open,-0.2417,165203.0,-0.3329156855544274,1660891020000,1670803200000,22521.0,23145.5,1669067520000,15440.0,2022-08-13 00:00:00,buy,15m,-4
36,closed,0.0085,36083.0,-0.18728802360921465,1660891020000,1663056000000,22512.0,22703.0,1662517440000,18451.0,2022-08-05 00:00:00,buy,1m,-2
70,closed,0.0002,34163.0,-0.17445190156599552,1660891020000,1662940800000,22345.5,22350.0,1662517440000,18451.0,2022-08-09 00:00:00,buy,1h,-2
88,closed,0.0079,35843.0,-0.180720216686648,1660891020000,1663041600000,22345.5,22521.0,1662517440000,18451.0,2022-08-11 00:00:00,buy,1h,-2
105,closed,0.0077,35843.0,-0.180720216686648,1660891020000,1663041600000,22350.0,22521.0,1662517440000,18451.0,2022-08-13 00:00:00,buy,1h,-2
71,closed,0.0162,36323.0,-0.18757430320109197,1660891020000,1663070400000,22350.0,22711.0,1662517440000,18451.0,2022-08-09 00:00:00,buy,15m,-4
87,closed,0.0455,34162.0,-0.17428565035465754,1660891080000,1662940800000,21374.0,22345.5,1662517440000,18451.0,2022-08-11 00:00:00,buy,1h,-3
4,closed,0.0478,34162.0,-0.1751346759952612,1660891080000,1662940800000,21347.5,22368.5,1662517440000,18451.0,2022-08-01 00:00:00,buy,15m,-3
18,closed,0.0593,35842.0,-0.18504449990062058,1660891080000,1663041600000,21374.0,22640.5,1662517440000,18451.0,2022-08-03 00:00:00,buy,1h,-2
69,closed,0.0455,34162.0,-0.17428565035465754,1660891080000,1662940800000,21374.0,22345.5,1662517440000,18451.0,2022-08-09 00:00:00,buy,1h,-3
104,closed,0.0367,34162.0,-0.17445190156599552,1660891080000,1662940800000,21558.0,22350.0,1662517440000,18451.0,2022-08-13 00:00:00,buy,1h,-3
33,closed,0.0224,34162.0,-0.17445190156599552,1660891080000,1662940800000,21860.0,22350.0,1662517440000,18451.0,2022-08-05 00:00:00,buy,1h,-2
49,closed,0.0455,34162.0,-0.17428565035465754,1660891080000,1662940800000,21374.0,22345.5,1662517440000,18451.0,2022-08-07 00:00:00,buy,1h,-3
134,closed,0.0623,33253.0,-0.17445190156599552,1660945620000,1662940800000,21040.0,22350.0,1662517440000,18451.0,2022-08-17 00:00:00,buy,1h,-4
32,closed,0.039,6853.0,-0.05169258920402562,1660945620000,1661356800000,21040.0,21860.0,1661029320000,20730.0,2022-08-05 00:00:00,buy,1h,-3
3,closed,0.0263,247.0,-0.027778428387398992,1660953180000,1660968000000,20800.5,21347.5,1660953300000,20754.5,2022-08-01 00:00:00,buy,15m,-4
154,closed,0.0061,1918.0,-0.036180689359880114,1661040120000,1661155200000,21148.0,21019.5,1661115120000,21780.0,2022-08-21 00:00:00,sell,1m,2
155,closed,0.0042,219.0,-0.00751844146018536,1661041260000,1661054400000,21237.0,21148.0,1661050140000,21307.0,2022-08-21 00:00:00,sell,1m,3
156,closed,0.005,1190.0,-0.025568583133210906,1661069400000,1661140800000,21343.0,21237.0,1661115120000,21780.0,2022-08-21 00:00:00,sell,1m,4
153,closed,0.0061,43.0,-0.013712880650652544,1661155320000,1661157900000,21019.5,21148.0,1661156340000,20858.0,2022-08-21 00:00:00,buy,1m,-2
152,closed,0.0034,19.0,-0.00768334165893575,1661155860000,1661157000000,20948.5,21019.5,1661156340000,20858.0,2022-08-21 00:00:00,buy,1m,-3
