,status,pnl,duration,dd,open,close,entry,exit,ddtms,ddv,created_at,side,tx,txi
139,closed,0.0021,365.0,-0.013237453571737065,1660053300000.0,1660075200000,23105.5,23154.0,1660054080000.0,22847.5,2022-08-08 00:00:00,buy,1m,-3
158,closed,0.0255,1324.0,-0.047133488470488684,1660053360000.0,1660132800000,23048.0,23635.0,1660092000000.0,22521.0,2022-08-09 00:00:00,buy,15m,-2
138,closed,0.0051,39.0,-0.01116617255631776,1660053960000.0,1660056300000,22988.0,23105.5,1660054080000.0,22847.5,2022-08-08 00:00:00,buy,1m,-4
180,closed,0.0033,477.0,-0.026750216076058774,1660089780000.0,1660118400000,23063.5,23140.0,1660092000000.0,22521.0,2022-08-10 00:00:00,buy,1m,-2
179,closed,0.0023,459.0,-0.023522015305569407,1660090860000.0,1660118400000,23011.5,23063.5,1660092000000.0,22521.0,2022-08-10 00:00:00,buy,1m,-3
178,closed,0.0022,445.0,-0.021315429241900788,1660091700000.0,1660118400000,22962.0,23011.5,1660092000000.0,22521.0,2022-08-10 00:00:00,buy,1m,-4
137,closed,0.0069,200.0,-0.020314946928832435,1660092000000.0,1660104000000,22829.5,22988.0,1660092000000.0,22521.0,2022-08-08 00:00:00,buy,15m,-2
115,closed,0.0028,20.0,-0.016292478378614483,1660092000000.0,1660093200000,22829.5,22894.0,1660092000000.0,22521.0,2022-08-07 00:00:00,buy,15m,-2
136,closed,0.0066,20.0,-0.013513217547471474,1660092000000.0,1660093200000,22679.5,22829.5,1660092000000.0,22521.0,2022-08-08 00:00:00,buy,15m,-3
94,closed,0.0028,2.0,-0.009783014927341878,1660092000000.0,1660092120000,22679.5,22743.5,1660092000000.0,22521.0,2022-08-06 00:00:00,buy,15m,-3
95,closed,0.0063,20.0,-0.016013107591480065,1660092000000.0,1660093200000,22743.5,22887.5,1660092000000.0,22521.0,2022-08-06 00:00:00,buy,1m,-4
114,closed,0.0066,20.0,-0.013513217547471474,1660092000000.0,1660093200000,22679.5,22829.5,1660092000000.0,22521.0,2022-08-07 00:00:00,buy,15m,-3
177,closed,0.0109,200.0,-0.019205644107656128,1660092000000.0,1660104000000,22715.0,22962.0,1660092000000.0,22521.0,2022-08-10 00:00:00,buy,15m,-3
157,closed,0.0148,440.0,-0.022865324540090246,1660092000000.0,1660118400000,22711.0,23048.0,1660092000000.0,22521.0,2022-08-09 00:00:00,buy,15m,-3
181,closed,0.0033,7.0,-0.0056582912394042536,1660130580000.0,1660131000000,23140.0,23063.5,1660130820000.0,23194.0,2022-08-10 00:00:00,sell,1m,2
182,closed,0.0025,11970.0,-0.08898012100259291,1660134600000.0,1660852800000,23199.0,23140.0,1660533420000.0,25199.0,2022-08-10 00:00:00,sell,1m,3
183,closed,0.0022,10530.0,-0.086210612526402,1660134600000.0,1660766400000,23249.0,23199.0,1660533420000.0,25199.0,2022-08-10 00:00:00,sell,1m,4
184,closed,0.0163,10289.0,-0.08387457525054841,1660134660000.0,1660752000000,23635.0,23249.0,1660533420000.0,25199.0,2022-08-10 00:00:00,sell,15m,2
164,closed,0.003,1.0,-0.0029897553836504285,1660135620000.0,1660135680000,23986.0,23915.0,1660135620000.0,23986.5,2022-08-09 00:00:00,sell,1m,3
163,closed,0.0035,6.0,-0.006482880161127896,1660135620000.0,1660135980000,23915.0,23832.0,1660135620000.0,23986.5,2022-08-09 00:00:00,sell,1m,2
185,closed,0.0143,193.0,-0.022635921303152104,1660135620000.0,1660147200000,23977.0,23635.0,1660137960000.0,24170.0,2022-08-10 00:00:00,sell,15m,3
165,closed,0.0042,2.0,-0.004273326106895689,1660136640000.0,1660136760000,24087.5,23986.0,1660136640000.0,24088.5,2022-08-09 00:00:00,sell,1m,4
203,closed,0.0073,1184.0,-0.04535456164240075,1660176960000.0,1660248000000,24043.0,23867.5,1660221000000.0,24950.0,2022-08-11 00:00:00,sell,1m,3
204,closed,0.0074,1115.0,-0.03772407769413135,1660181100000.0,1660248000000,24223.0,24043.0,1660221000000.0,24950.0,2022-08-11 00:00:00,sell,1m,4
186,closed,0.0107,1115.0,-0.04058055636651791,1660181100000.0,1660248000000,24236.5,23977.0,1660221000000.0,24950.0,2022-08-10 00:00:00,sell,15m,4
64,closed,0.0255,1835.0,-0.054745296977383215,1660181100000.0,1660291200000,24275.0,23655.0,1660221000000.0,24950.0,2022-08-04 00:00:00,sell,15m,3
205,closed,0.0006,35.0,-0.01060975106303926,1660181100000.0,1660183200000,24236.5,24223.0,1660182660000.0,24480.0,2022-08-11 00:00:00,sell,15m,4
12,closed,0.0038,35.0,-0.012302284710017574,1660181100000.0,1660183200000,24275.0,24182.5,1660182660000.0,24480.0,2022-08-01 00:00:00,sell,15m,3
166,closed,0.0061,875.0,-0.03580695381421899,1660181100000.0,1660233600000,24236.5,24087.5,1660221000000.0,24950.0,2022-08-09 00:00:00,sell,15m,4
31,closed,0.0085,1115.0,-0.036603099422493665,1660181100000.0,1660248000000,24275.0,24069.0,1660221000000.0,24950.0,2022-08-02 00:00:00,sell,15m,3
47,closed,0.0261,1835.0,-0.05539222943677164,1660181100000.0,1660291200000,24275.0,23640.5,1660221000000.0,24950.0,2022-08-03 00:00:00,sell,15m,3
83,closed,0.0147,661.0,-0.03173782694096971,1660193940000.0,1660233600000,24542.5,24182.5,1660221000000.0,24950.0,2022-08-05 00:00:00,sell,15m,4
167,closed,0.0186,508.0,-0.029439069172529038,1660203120000.0,1660233600000,24695.0,24236.5,1660221000000.0,24950.0,2022-08-09 00:00:00,sell,1h,4
187,closed,0.0186,508.0,-0.029439069172529038,1660203120000.0,1660233600000,24695.0,24236.5,1660221000000.0,24950.0,2022-08-10 00:00:00,sell,1h,4
147,closed,0.0287,748.0,-0.040190110898023844,1660203120000.0,1660248000000,24695.0,23986.0,1660221000000.0,24950.0,2022-08-08 00:00:00,sell,1h,4
126,closed,0.0418,1468.0,-0.054410987849973586,1660203120000.0,1660291200000,24695.0,23662.5,1660221000000.0,24950.0,2022-08-07 00:00:00,sell,1h,4
206,closed,0.0186,508.0,-0.029439069172529038,1660203120000.0,1660233600000,24695.0,24236.5,1660221000000.0,24950.0,2022-08-11 00:00:00,sell,1h,4
